text,final_label
"RT @FootyHumour: Valverde: ”Do you know what you have to do?”

Alena: “No”

Valverde: “Me neither, tell Messi I said hi.” https://t.co/Njv6…",3
"One of my favorite songs. ""There's a man on the shoreline with a white parakeet trying to make his bird go home."" http://t.co/bQ3CBIPk6s",3
If England can do this  so why not india can do this   #ICC #Balidan #DhoniKeepsTheGlove https://t.co/i5eq7VRWad,3
"I went to see This is Where I Leave You, at a movie theater with tables and real food! It was fun. I ordered a brownie dessert. :P",3
RT @itatiVCS: getting super frustrated with how many scientists I still see clinging to the ‘science is apolitical’ bit like the planet is…,3
@NOT_UR_BRO @niccol3_xo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin me#swaagg,0
He is a #kudnapoer and #murderer and @CNN wants to interview his idiot wife to get her sympathy https://t.co/cmMw2DLBxP,0
"@amck73 And because it sounds like there is NO prenup, he's gonna cash in, not her. He apparently has ghetto credit. 'magine that?!",1
@Arbogucci guys not supposed to get their ass sucked queer,0
If you go there you’re just as bad as they are if you’re purchasing their products UR just as bad as they are so do… https://t.co/rkrdRZF03o,3
RT @obehi007: &#8220;@_Saaani: @obehi007 Wetin happen ?&#8221;our school will just be behaving like pussies,1
"RT @gamma_ray239: The wicked witch of the east is DONE!!!! NOW, send that vile bitch to Syria http://t.co/kEUI4XetTd",1
RT @___Royals: When niggas try to act hard but really be bitch made &#128514;,1
@PolitiBunny Anyone that uses the term “rad” in 2019 might need to be medicated.,3
@EricWithAHotDad bitch I'm done with school,1
"Doctors doing their job well, treating Didi #DoctorsFightBack #SaveTheDoctors",0
She a dyke if one side of her head is faded out,1
RT @aebxo: I asked my boyfriend to go get me some pads because I didn’t trust him to get the right tampons and he’s come back with baby wip…,3
@grahamlithgow #JohnnyMercer said he wants Britain back on it's feet again It's #BREXIT that's knocked Britain off it's feet Solution to the problem is to #revokearticle50  #borisjohnson @BorisJohnson #BorisJohnsonShouldNotBePM,3
coulda been trash talking that nigga cuz NIGGA GOT SPANKEDDD IN FANTASY,1
The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm,3
@Like_C1ockwork I need them jays,3
Oh look....    #WheresBoris   #BorisJohnsonShouldNotBePM https://t.co/d032PBnY3i,0
@GoneWithKalijah I watched the 1st season bc I wanted to see the diff sides of Elijah. Not to see a thristy hoe who uses Walgreen's hair dye,1
"It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1",3
@ssquirrel007 Hell yeah! I'm in! #fucktrump,3
Is it time yet for all of us to wake up and realize all of this time since November 2016 was actually a nightmare and Hillary was actually elected?    Is it?    #fucktrump  #Impeachment,3
SHAO'S ASS IN HIS 5* ART IS A+ DAYUM SON — LMAO WHAT ASS? he has a cloth tied around his waist it's billowing sligh… https://t.co/jHdcoBxU9p,2
@Hawkermkii @Spice_Gurl21 @MayorHancock @CityofDenver @HRCPDenver ✌💚💜🍫🎨🍯😘  #GTFOofMyWhitehouse  #Traitors  #NazisNOTWelcome  #NOQUARTER4Racist  #NOQUARTER4RacistSympathizers  #ResignORImpeach  #Derelict  #Unfit  #Incompetent   #Rapist   #ImpeachTheMF   G E T  O U T...❗❗❗  GET THEM ALL O U T ❗❗❗. https://t.co/4ZQ7oXu5rs,1
Charlie horses suck ass #ouch,1
No less than 3 bad bitches in my bed at a time...,1
@JStarrTweets my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna,3
All These hoes sooo average &#128553;&#128533;,1
hoes get beat 2... n if any nigga knw me dey ah tell u I stay wit ah pistol n always ready to squeeze,1
"They heal, operate, diagnose  We consider them a part of the second God cosmos  This is so appalling, shameful and gross  We need to bring this violence to a close    #SaveBengal  #DoctorsFightBack  #standwithdoctors",0
&#8220;@riyastunna: don't fall in love with a bitch&#8221; #bestadvice,1
"Want to go get this brownie, I'm stuck doe.",3
RT @the_ironsheik: My #tbt I learn the English from that jabroni big bird but I break his fucking neck http://t.co/vDpIq8Zuxo http://t.co/4&#8230;,1
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",3
Did I just see a white bitch getting licked between her legs by a dog? Nasty fuck!,1
@realDonaldTrump WITCH HUNT FOUND A      ZOMBIE     #MORONTRUMP    #IDIOTTRUMP    #WorstPresidentEver https://t.co/bFjybRaLRY,2
RT @DamnFoodPorn: Oreo Cookie Pancakes #FoodPorn http://t.co/q6EvCvM3sO,3
You bitch like to text emojis,1
&#8220;@AdamRotter: Watch: Prust tries to hit Hank during break play http://t.co/fZ6lxcS3ok&#8221; @BrandonPrust8 pussy attempt by a pussy #mtlhockey,1
the trash wheel has a twitter? and googly eyes?,3
#ShameOnICC and @englandcricket Board Has perfectly planned to spoil #CWC19 and Mentally giving trouble the other teams by fixing it on this june month. Which is mostly monsoon days in #England #WIvENG #WINNER #TNCriesforWater #Chennai,0
Chase really got hoes in every state it's crazy his @ name the truth,1
Sheeple.    Clowns always have a crew.    #FuckTrump https://t.co/9hKmPTxw0w,3
12 oz arizona's trash,3
@BloggerBoxing @rianscalia pass the Fosters faggot,0
@usweekly that old cunt needs to sit down,1
I'm sick of dudes posting videos of them singing on vine. Do that shit in the shower or something fags,1
#Sachin Tandolker : a Biography || #ParallelMedia | https://t.co/UHegopogBS via @YouTube  #IndiaWithDhoni  #WWESSD  #DhoniKeSaathDesh  #DhoniKeepsTheGlove  #BharatRoarsOnDay3  #Kundru  #BIGDAYSGAZEONTANHAJI  #KNACKDHANUSHBIRTHDAYIN50D   #Thiem  #SaketKumar,3
RT @LoveMe_AshMarie: I wish it was appropriate to go around slapping bitches when they say stupid shit,1
@adam_ni This is what your country will soon look like if you EVER let #China in-in any way‼️Finance/joint ventures/land ownership/infrastructure or 5G‼️Yes they own HK but we got complacent while Britain had it’s 99 year lease-this is no longer the #HongKong we knew!💔💔💔#BoycottChina🇨🇳,3
Eat your vegetables or you'll grow up to be a pussy,1
@Noworriezzzz basically we're mad at them for being hoes,1
@INCIndia @BJP4India #NDA  'Blame is your own..'  'Covering up 'a lack of Democracy' within the CON 'Regress' is not going to improve the fortunes of your Party.'  #congressmuktbharat https://t.co/GV2DmQtO6X,3
RT @VerusFacts: How Shy People Flirt. Learn tips from the best! http://t.co/81PvuHnHaT,3
@Ms_Marrie i think i need to see said bitch in question,1
RT @nowthisnews: 'I am proud to be a gay son of God.' — This valedictorian came out during his graduation speech at Mormon university BYU h…,3
@ennuitimes clever monkey!,3
RT @peoplefor: .@SenKamalaHarris: Has the President or anyone else at the White House ever suggested that you investigate anyone? Yes or no…,3
I have yet to understand why so many bytches getting the bull piercing? It's called a septic or something like that ...,1
"RT @_princessShy: pussy like girls&#128571;, damn is my pussy gay?",1
RT @SheTrillaryC___: You can't tell a bitch shit when they get a Job &#128514;&#128514;&#128514;&#128514;,1
Fuck bitches get money,1
"&#8220;@tabatha__b: Never worried about the next bitch. Always worryin about the next meal. I'm tryna fuckin eat, fuck what you talkin bout&#8221; &#128525;&#128175;&#128175;",1
&#8220;@NigggaPino: Splash onna bitch Wednesday tomorrow&#8221;,1
MP - Subhash Chndra Medical College     Doctor from Scheduled Tribe community in Madhya Pradesh beaten up by the relatives of patients who wanted 'upper caste' doctor. #DoctorsFightBack #DoctorsProtest  https://t.co/n2k6i00E28,3
@bimmerella @emptywheel And that’s because you’re a complete idiot who saw what you wanted to see.,2
RT @BobGNARLEE: Back when I was a young buffalo soldier ha s/o to the bro @_whereisperry #tbt We still in this bitch&#8230; http://t.co/FR1aaIV42x,1
"That bitch just walked off all like &#128129;
Wtf &#128514;&#128514;",1
@realDonaldTrump You are a joke. #Douchebag,0
@joncoopertweets Trump doesn’t pay his bills - he never has and never will - u must sue him in court #TrumpIsATraitor #45IsAcriminal #TrumpCrimeFamily #McConnellMustGo #McConnellChaoCorruption,0
"Parker Cannon is lyrically beautiful. That bitch comes up with the best lyrics for his songs. Like fuck, man.",1
RT @eversinceaiz: why did he leave his thumb up i’m fucking gone  https://t.co/Ww9AY4S1C3,2
&#8220;@Bossman_Carl: I just wanna do something for somebody&#8221;boy sound desperate than hoe how you bout you start off and flat that nose of yours,1
Lol when a nigga say he miss u say don't miss me miss ya bitch lmao,1
this is why i love birds. http://t.co/Gk2wiNhBkw,3
@realDonaldTrump What in the absolute hell is wrong with you?!? #TrumpIsUnfit #TrumpIsATraitor #TrumpIsACriminal,3
RT @AlexaSchwerer: @Jennchesss you and me both! probably some ghetto piece of shit who has nothing better to do with their lives...,1
RT @MensHumor: Cheating on a good woman is like eating out of the trash instead going out for steak. #truth,3
"RT @ShadowBeatz_Inc: I know you have me blocked, but next week bitch @KYR_SP33DY",1
"Viola, Auntie...you can't call White trash women White trash like this during primetime! #HTGAWM",3
@ocr___ Ahha you're my accountant now low-key,3
versace bird feeder,3
@LeonardRoxon Great hair can't save the goofy bum toucher look on his face. #DoucheBag,3
Fuck these bitches RT @KingHorseDick: Stop women bashing RT @viaNAWF Them women don't exist in this generation.,1
@LupeFiasco You and @TalibKweli should name a group called MOB - Moaning old bitches,1
hahaha dumb bitch,1
"RT @jimjefferies: When People write a review of my comedy that starts with ""I'm not easily offended, but this was just not funny"" that cunt&#8230;",1
"If your a nigga ... And you use the term "" yassssssssss "" im just gonna assume your a fag",1
Kim Kardashian look like a tranny with all that surgery,0
@kayliefarmer hey now there's no need for foul language you kike,3
@psychdr100 The idiot MAGAt is ready to take on the govt. 🙄😆😆    #TrumpSupporters #morons #MAGAt #TrumpsAmerica #TrumpIsATraitor https://t.co/JPIDteHVSW,0
Read everything about Dhoni’s army insignia gloves here:   https://t.co/5BToPrFQv0 #CricketWorldCup #DhoniAtCWC19 #DhoniKeepsTheGlove #DhoniKeSaathDesh #DhoniKeepBalidaanBadgeGlove,3
I can't fuck with girls that talk about their pussy on social media...,1
So niggas wanna be bitches and shit wearing flowers and shit smh y'all niggas gay!,1
"' Club solo 1 deep , fuck a valet cause I parked on the street , lordddd knows &#1041243; You can't trust these hoes ,... http://t.co/WcD3V5sej2",1
@Swanny_9 where are the birds at? Wasn't it Port where birds were all over?,3
Ugly bitches always trynna take pics from the same angle &#128553;&#128553;&#128514;&#128514; guess it's they best side,1
@iAM_tRoyal5 @Briscoefunnyguy @I_GotOne @_KaeeJones lmaoooo that hoe look like &#128058;,1
Cooking breakfast in the nude is wifey status? Fuck no. I have actually cooked before &amp; I aint about to get no grease burns on my nips!&#128562;&#128565;,1
Text me nig nogs 630.362.5206,1
RT @jessmelkum: Nipple piercings are suppose to be a girls personal secret. But y'all hoes get them just to take a selfie,1
Am I the only one who's observing that none of England's matches are being abandoned due to rain? Planned locations selected?   Well played England. Just because you couldn't win it in a legitimate way...   #ShameOnICC #WorldCup2019 #WC2019 #wc2019withtimes,3
Yo bitch I had fun with that,1
I'm not a ho because I think two men and one woman together is a THREESOME and NOT a TRAIN. #getyamindright,1
"Come Yashwant you believe @BCCI to Put country up and above Money, NEVER gona happen #DhoniKeepsTheGlove https://t.co/kLGxg0cEa9",0
.@everSoTweetly4u Klain's real (sole) job is to dampen down the mushrooming bad PR and political fallout heading into Nov election.,3
RT @caseykim12: Your sole purpose is to make money. Otherwise you'd suggest violence prevention policies that actually WORK. @piersmorgan,3
RT @ThotsLoveNike: Girlfriends hate them friendly bitches &#128514;,1
@Oskzilla I'll bitch slap you to the shadow realm!,1
RT @jakesiwy: @bhasfurter pussy,1
@Sifill_LDF You’re an ignorant clown,1
"""This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.""-@EricaNadine26",3
Women who are feminist are the ugly bitches who cant find a man for themselves,0
"Nope. Not the only one. Even when just listening on NPR, when they play a quote, I am immediately shutting it down. #FuckTrump https://t.co/AW0gxoc84A",2
RT @salice_roseee: I’m an asshole sometimes but man my heart is big,2
@DrewHelms21 I know right so much retard,1
"RT @tonymoore: Found cheese cracker sandwiches in the cabinet, a year expired. Ate them anyway. If I die tonight, these will be the worst l&#8230;",3
"@crampell Oohhhh, now that Trump is done with Pence, he’s thrown out with the garbage. #TrumpIsATraitor #TrumpIsATraitor #TrumpCriminalInvestigations",1
"@Emmabarnett MPs who support a candidate with serial misbehaviour to be PM (#BorisJohnsonShouldNotBePM ) will face the music when they come for re-election. #BorisJohnson is the blankey blank candidate who can't be bothered to defend what he is suppose to stand for, so why back a blank brain?",0
"To all those #Citizens who are not BOTHERED about #doctors,   You will only be BOTHERED when doctors stop BOTHERING !    #DoctorsFightBack   #DoctorsProtest  #SAVETHESAVIOUR",3
I hate pulling into stores. Niggas be staring like they never seen a bitch drive a car with rims and a system. .,1
Nike DC is trash.,3
"No, Donald Trump, You Did Not Meet the “Prince of Whales.” Aquaman Would Never. #Resist #ResistTrump #FuckTrump https://t.co/zpdU0OrsXV",3
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,1
Harry must thincc I'm the bitch he can fall Bacc on ah sum &#128514;&#128557; Boi BYEEEEE &#128075;&#9995;&#9996;&#65039;,1
I hate when my best friend gets a new bitch and barely chills with me,1
So Marco Rubio thinks I’m a #traitor because I don’t necessarily believe the habitually #lying @POTUS or the #murderer Mohamed Bin Salaam. I don’t believe the lying #murdering Iranian Clerics either. Fuck Marco Rubio’s dumb ass.,2
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1
&#128561;that bitch is from Moreno Valley........ &#128530;,1
"RT @ImFinaTweetThat: ""@217Emmanuel: Lil bitch, you ain't know/you can never score from the sideline, hoe!""",1
RT @girlslikedahyun: we going 1M for her birthday rt or you're homophobic https://t.co/J6IaIIcKCa,2
It's this hoe pics I'm looking at she got her ass out in 20pics then got 5 with her son....these hoes crazy,1
R u out of ur senses west bengal ? We are protesting and you are still hurting? @AIIMSRDA @RDAPunjab @DeskRdasjh @Lhmc_rda @RdaHrh @Drmanugautam @CNNnews18 @NewIndianXpress @PTI_News @abpnewstv @ndtvindia @drmanishjain680 @drharshvardhan #doctors_against_assualt #DoctorsFightBack https://t.co/dEpTFbOXyK,3
These bitches think they know snap. Ha bitch I am snap,1
@sardesairajdeep And why don't you take stand on hinduphobia #bhosdike,2
go to rehab,3
RT @Choochieee_: If I can take your bitch was she ever really yours?,1
"RT @YungUgIy: just because i think you're fine don't mean i want you, you appealing to my eyes, not my heart bitch.",1
Sure wish my nose would stop dripping.....this sick shit is for the birds,1
#ICC need to focus on managment of world cup instead of dhoni’s gloves.  #worstworldcupever     #ShameOnICC,0
"@tyler_wilde CH3BURASHKA sure gets to be a nit-picky Russian monkey/bear thing sometimes, doesn't he?",3
RT @sophiedee: Watch my fuck a fan video!! —-&gt; playing on my private Snapchat https://t.co/VKzob99y43 💦🍆 https://t.co/NUiJTnCEkv,2
I'll have these bitches havin baby's every week,1
"People who go to church in Hollywood, CA are all white trash filth.",0
&#8220;@BSBHForum: #BeatTheHabs #NYR http://t.co/okvhWHy3Vh&#8221; @CanadiensMTL #pussy,1
RT @TaeCocky: She a hoe if her bday in september,1
@blackymiles lol to get the yellow bleach stain out use a baking soda hydrogen peroxide paste on the stain and throw in the washer,3
RT @DCPlod: The paranoid fear of sharia on the right boils down to: Christian fundamentalists should be the sole oppressors and persecu ...,3
RT @MollyJongFast: Oh you’ve got to be Fucking kidding me. https://t.co/boHUY1f9DA,2
"It is an appeal for all Indians and Indian Cricket Fans plz wear tshirts having balidan insignia printed on them while going to watch the match. In this way, we can protest against ICC hypocrite and foolish decision  #BalidaanBadge #indiawithdhoni #DhoniKeepsTheGlove https://t.co/eWUFh9TqLi",3
@JudgmentalNYer @eveisapisces it always looks so nice! I was gonna buy this yellow one,3
"It’s simple you old fool.   Athletes get paid millions because fans buy gear, tickets and concessions.  Noone buys… https://t.co/mb2RSTj7ME",3
"RT @kizzmybutt: You had me at, ""I hate that bitch too""",1
RT @creepingsharia: Syrian Brought to US for &#8220;Democracy Training&#8221; Endorses&#160;Jihadis http://t.co/lfhCto8777,3
"@_fullawhite haha my nigga coco :,) I can't wait to fuckkk like a hunna hoes this summer haha jk",1
addicted to pussy poppin,1
RT @p0psson: &#8220;@iamlexj_: Lastnight &#128582;&#127825; #HalloweenCostume http://t.co/2UzOH6FRzG&#8221; hoe that's your work outfit,1
"Punishment for Rapist, So that no one can think of doing such this things Again.  #Rapist #AligarhMurderCase #Merut #bhopal https://t.co/NNHqs6vCu2",1
RT @ho3micide: Morgan Park kids like to pop fire crackers in the school now,3
Basic bitches &amp; lame niggas &lt;,1
"RT ""@HuffingtonPost: Jane Seymour rocks a bikini at 62 http://t.co/1pUccv8t97"" Crazy Aunt Jane is at it again @TheFaithAnne",3
"Sometimes I wake up on the ceiling , the floor , outside , near a trash can, on your mom, in Hollywood somewhere, in a ally somewhere",1
Ive never seen this part of pussy town before... lolololol the end of this song thoo....,1
"Aint no bitches here... Well, like 3",1
"RT @TheFauxsynder: ""He reached out, but the wall of the pod stopped his hand so that he couldn't touch Sora, either. "" -Riku
.
""I found you…",3
I impress da young white girl next doe by taking out my giant negro thang and usin it to flip da hamburgers for da #KoolQueefTribute&#160;,1
That bitch could sit on my face.,1
@RichxInxFlavor I'm not a fag. Gtfo,0
@realDonaldTrump Of course you hate MSNBC because they tell the truth and the truth is that you are an incompetent buffoon without a shred of decency.  You are a complete and absolute disaster.  #IdiotTrump,1
"RT @IEatHeartsBitch: If you tell her the dick good she gone wanna try, tell her it's wack she gone wanna see for herself. A hoe gone be a h&#8230;",1
A squad of dyke cholas fear nobody. They worse than the cartel,3
Boats n hoes boats n hoes gotta have me my boats n hoes!!!!!!!,1
Need to remove Minority law.  #minority   #Islam  #TerroristHasReligion  #rapist  #PopulationControlLaw    @AmitShah   @narendramodi   Cc:@AskAnshul,0
"RT @Arya_No1: Arya Stark will not be the poster girl for this misogynistic trash.
Skills, jobs &amp; hobbies that are traditionally framed as f…",2
RT @BenevolentDjinn: I hate seeing women carrying on about how they could fuck somebody's man. Ok??? Trashy ass bitch.,1
Don't be mad cause yo bitch Choosin,1
"RT @CHlLDHOODRUINER: ""bitch ass nigga square up"" &#128514;&#128514; http://t.co/xK1rpf1NPy",1
@sheisdope_ Like ion care how &#8220;that bitch susie from work broke up with her man and she was tellin me the whole story&#8221; blah blah blah,1
RT @BiIIMurray: My iPhone has 2 million times the storage of the 1969 Apollo 11 spacecraft computer. They went to the moon. I throw bird ...,3
I just fucked an albino. It was weird because it was like a white body impersonating a black voice....... like Iggy Azalea,1
"If you Chant Jai Shri Ram, you will be arrested.    If you support BJP, you will be killed.    If you make cartoon, you will be arrested.    If you fight for your rights, you will be stoned.    This is not Pakistan but West Bengal.    #SaveTheDoctors  #DoctorsFightBack   #SaveBengal",1
I will keep retweeting so I hope USA citizens will all note TRUMP is the biggest #traitor #worstpresidentinhistory #fakePresident #trumpputinsbottomboy #corruptiongobeWildintheWH #IDIOTTRUMP #TrumpistryingtodestroytheNation #ImpeachTrump #ImpeachTrump #ImpeachTrump https://t.co/ayprOrTnqq,3
"I been with the same STUD for a year....That bitch, her attitude nasty.",1
"One time this girl asked my what my problem was, I instantly replied I love bad bitches &#128514;&#128514;",1
Los bitch taught me the true meaning of gravity when her panties kissed her ankles!,1
killers don't pillow talk.. wit dey bitches,1
No hoe shit tho I was bout to say Perro got butt naked bitches doing dishes,1
"RT @hiteshrangra: Sonia never criticises @ArvindKejriwal . Kejriwal, who trashes every other leader, never criticises Sonia. Touching. #YoK&#8230;",3
For every thirst dog lies a thirsty bitch.,1
"@dre_snipes @TheReal__Hop lmao, them bitches was the truth",1
@ronniecaine so 'how bout now' was just trash huh.,3
Tired of this single shit,2
"&#8220;@EBR_Chiefington: Dej loaf ever bitch wc today, all it takes is a lil juice and these bitches want you&#8221;",1
"That's why I keep you here
you ain't like them other hoes",1
"RT @LesaMonroe: Fellas, guess what.. We don't like to be asked why were looking mean. It's called ""Resting bitch face."" WE JUST LOOK THIS W&#8230;",1
"I lose OVO followers every year. 100 bitches unfollowed me because of my ""Hold On We're Going Home"" rants. A HOE ATHEM is a hoe anthem",1
RT @peacebeyondme: I plan on hosting my very own one-man show #ForeverYoung this year for all the people who fuck with me &amp; my music. 🙏🏾 I’…,1
"I think I broke a rib when I fell in that ditch, turning into a pussy? I think not.",1
Smoke summm bitch,1
Ion care fuck that hoe &#9996;&#65039;,0
@niggie95 aka the lonely bitches,1
@ImSooooMad guess who's eating cracker b without you,3
I hate the white trash cops who raped and murdered my infant daughters and son.,0
"@NYRKelsMads 
You never survive in da colored hood",3
"@Jim_Jordan How about “counter-Intelligence investigation”?  you should be fucking ashamed of yourself, Jim.  A traitor.",1
Single like a dollar fucking bitches like im slater ..AWW MANE!,1
Twatch sounds like twat.,1
RT @On1y_Jr: Today the day bitches let's turn tf' up ! &#128540;&#128520;&#128123;&#127867;&#128138;&#127881;&#127882; @hiagokoury @ZayZillaaa @Thompson_Era @_joshuahall_ @Blakeanthony98 http://t&#8230;,1
I eats the pussy.,1
Can this bitch hurry up... #INeedMyEigth,1
RT @Im_Flashy_Bitch: Bitches be like go talk to ya other bitch bitch you is my other bitch,1
9 out of 10 Doctors recommend moving out of West Bengal. Shame on @MamataOfficial     #DoctorsProtest #Savethedoctors #SaveBengal #MamataBanerjee #JaiShreeRam #DoctorsFightBack,0
